Partido;Promedio Voto %;Promedio Escaños Senado;Promedio Escaños Diputados;Prob Victoria Presidencial %;Prob. Segunda Vuelta %
SUMATE;0,01;0,22;1,21;0,00;71,10
ALIANZA LIBRE;0,02;0,83;1,83;0,00;71,10
MAS;0,04;1,86;4,05;93,20;71,10
UNIDAD;0,03;1,09;2,90;6,80;71,10
