Partido;Promedio Voto %;Promedio Escaños Senado;Promedio Escaños Diputados;Prob Victoria Presidencial %;Prob. Segunda Vuelta %
SUMATE;0,01;0,21;1,18;0,00;71,30
ALIANZA LIBRE;0,02;0,84;1,85;0,10;71,30
MAS;0,04;1,84;4,06;90,90;71,30
UNIDAD;0,03;1,11;2,92;9,00;71,30
