Partido;Promedio Voto %;Promedio Escaños Senado;Promedio Escaños Diputados;Prob Victoria Presidencial %;Prob. Segunda Vuelta %
SUMATE;0,01;0,19;1,17;0,00;69,80
ALIANZA LIBRE;0,02;0,84;1,85;0,00;69,80
MAS;0,04;1,87;4,08;93,10;69,80
UNIDAD;0,03;1,10;2,90;6,90;69,80
