Partido;Promedio Voto %;Promedio Escaños Senado;Promedio Escaños Diputados;Prob Victoria Presidencial %;Prob. Segunda Vuelta %
SUMATE;0,01;0,22;1,19;0,00;71,40
ALIANZA LIBRE;0,02;0,81;1,82;0,00;71,40
MAS;0,04;1,86;4,06;92,40;71,40
UNIDAD;0,03;1,11;2,93;7,60;71,40
