Partido;Promedio Voto %;Promedio Escaños Senado;Promedio Escaños Diputados;Prob Victoria Presidencial %;Prob. Segunda Vuelta %
SUMATE;0,01;0,22;1,21;0,00;72,30
ALIANZA LIBRE;0,02;0,80;1,81;0,00;72,30
MAS;0,04;1,86;4,05;91,90;72,30
UNIDAD;0,03;1,13;2,93;8,10;72,30
