Partido;Promedio Voto %;Promedio Escaños Senado;Promedio Escaños Diputados;Prob Victoria Presidencial %;Prob. Segunda Vuelta %
SUMATE;0,01;0,20;1,16;0,00;71,20
ALIANZA LIBRE;0,02;0,84;1,86;0,00;71,20
MAS;0,04;1,84;4,04;90,80;71,20
UNIDAD;0,03;1,12;2,94;9,20;71,20
